   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17
          31 3.9767e-023 3.2986e-021 6.9237e-020 3.8549e-019 4.4633e-019 4.1191e-019 1.5516e-019 4.5236e-019 1.5094e-022 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          32 3.5383e-012 2.3179e-010 4.2819e-009 2.0945e-008 1.8208e-008 3.2980e-008 1.0603e-008 2.2994e-008 3.8369e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          33 1.0507e-021 5.9312e-020 9.9317e-019 4.3369e-018 2.7820e-018 9.3551e-018 2.5755e-018 4.3865e-018 3.3705e-019 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          34 1.8670e-021 8.4063e-020 1.1637e-018 3.9051e-018 8.7232e-019 1.6224e-017 2.9845e-018 2.9752e-018 1.9070e-018 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          35 1.2349e-020 4.7518e-019 5.4909e-018 1.3370e-017 5.3157e-021 1.1035e-016 1.1792e-017 5.7872e-018 2.2881e-017 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          36 1.5141e-019 5.1502e-018 4.9219e-017 7.6514e-017 4.1526e-017 1.4281e-015 6.7414e-017 6.0287e-018 4.0392e-016 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          37 5.2347e-018 1.5987e-016 1.2258e-015 8.7650e-016 5.5005e-015 5.2933e-014 4.9943e-016 3.0440e-016 1.7722e-014 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          38 3.8813e-004 1.1049e-002 7.0695e-002 1.6538e-002 7.2023e-001 4.1389e+000 2.8387e-004 1.0766e-001 1.4699e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          39 1.3642e-016 3.7495e-015 2.1626e-014 1.4826e-015 3.2009e-013 1.4955e-012 2.1848e-015 6.0431e-014 5.3962e-013 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          40 5.7860e-017 1.4163e-015 5.3609e-015 3.1036e-015 2.5187e-013 6.9478e-013 2.6630e-014 6.9252e-014 2.5095e-013 2.5307e-015 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          41 1.4912e-016 3.1575e-015 5.4881e-015 5.9979e-014 1.1226e-012 1.9854e-012 2.9768e-013 3.5765e-013 6.6891e-013 8.2349e-014 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          42 7.3221e-016 1.2568e-014 1.3400e-015 9.9094e-013 9.4627e-012 1.1002e-011 4.4107e-012 3.1138e-012 3.1741e-012 1.7688e-012 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          43 8.0420e-015 9.5637e-014 2.5713e-013 3.0303e-011 1.8729e-010 1.4056e-010 1.3318e-010 5.8491e-011 3.0311e-011 6.2139e-011 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          44 6.0115e-004 3.4759e-003 1.5238e-001 5.6576e+000 2.6046e+001 1.2600e+001 2.5317e+001 7.2504e+000 1.6577e+000 1.2310e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          45 9.5753e-013 4.6172e-012 3.0839e-010 1.0357e-008 4.5915e-008 2.0723e-008 4.6522e-008 1.2500e-008 2.4527e-009 2.2641e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          46 2.2324e-014 1.6055e-014 4.9279e-011 9.2515e-010 3.0887e-009 7.0948e-010 4.3130e-009 6.5557e-010 1.0449e-011 2.0430e-009 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          47 3.5013e-015 1.2850e-012 1.6635e-010 2.1597e-009 5.5389e-009 4.1811e-010 1.0535e-008 7.6035e-010 8.4934e-011 4.6074e-009 1.5242e-017 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          48 3.2125e-014 1.8352e-011 1.0543e-009 1.0412e-008 2.0489e-008 3.4533e-011 5.3409e-008 1.1882e-009 2.1591e-009 2.0573e-008 2.4589e-010 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          49 2.0488e-012 3.5454e-010 1.3185e-008 1.0394e-007 1.5363e-007 9.4607e-009 5.6305e-007 4.1060e-010 4.8147e-008 1.8182e-007 1.6609e-008 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          50 9.6984e-010 1.1204e-007 3.1104e-006 2.0064e-005 2.1233e-005 8.7419e-006 1.1527e-004 1.1975e-006 1.5662e-005 2.9412e-005 9.4847e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          51 1.0323e-001 1.1473e+001 3.0687e+002 1.9224e+003 1.9213e+003 9.8451e+002 1.1148e+004 1.6688e+002 1.6017e+003 2.7275e+003 1.0356e+003 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          52 2.1723e-010 2.0605e-008 4.5717e-007 2.4359e-006 1.6805e-006 2.6290e-006 1.4922e-005 8.7804e-007 2.7946e-006 2.7729e-006 2.4697e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          53 3.2717e-010 2.7857e-008 5.1184e-007 2.2471e-006 8.3069e-007 4.8125e-006 1.4792e-005 2.3842e-006 3.5055e-006 1.7568e-006 4.1634e-006 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
