   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34
          21 5.9828e+003 2.3353e+003 1.5195e+003 8.4373e+003 2.9755e+003 1.5699e+003 1.2378e+004 1.1287e+004 6.8516e+002 6.7259e+003 2.5373e+004 2.7051e+004 7.7927e+003 2.3460e+003 4.2940e+004 1.1984e+005 1.8549e+005 1.9522e+005 1.4320e+005 8.2009e+004 4.0610e+004 8.5939e+001 5.6027e+005 2.6620e+004 7.5594e+004 8.2902e+003 3.1595e+003 1.4530e+003 5.9569e+002 2.3212e+002 8.7988e+001 3.4478e+001 1.4911e+001 7.0625e+000 3.4732e+000
          22 3.8929e+003 2.7275e+003 2.9281e+002 6.2642e+003 4.4447e+003 1.1807e+002 7.8463e+003 1.1694e+004 3.0212e+003 1.6125e+003 1.5922e+004 2.5303e+004 1.4292e+004 2.7281e+002 1.4731e+004 6.6762e+004 1.3052e+005 1.6484e+005 1.4981e+005 9.6184e+004 5.8606e+004 2.1200e+004 3.2188e-001 6.9111e+005 1.2575e+005 1.0891e+005 8.3911e+003 2.7241e+003 1.5417e+003 7.6138e+002 3.6453e+002 1.7588e+002 8.8565e+001 4.6321e+001 2.4179e+001
          23 2.1933e+003 2.5843e+003 1.1771e-001 4.0757e+003 4.8778e+003 1.0430e+002 4.3068e+003 1.0155e+004 4.9623e+003 6.7795e+001 8.7282e+003 2.0251e+004 1.6921e+004 3.2150e+003 3.3568e+003 3.3905e+004 8.5096e+004 1.2697e+005 1.3436e+005 1.0360e+005 6.3116e+004 3.8939e+004 6.6187e+003 1.5702e+003 8.0990e+005 3.4610e+005 1.5983e+005 1.1830e+004 2.0820e+003 1.0265e+003 5.5689e+002 2.9531e+002 1.5792e+002 8.5612e+001 4.5614e+001
          24 1.1082e+003 2.2243e+003 1.3145e+002 2.4596e+003 4.6635e+003 5.9955e+002 2.1161e+003 8.1311e+003 5.9840e+003 2.0180e+002 4.3369e+003 1.5116e+004 1.6813e+004 6.3604e+003 1.9654e+002 1.6182e+004 5.4120e+004 9.4647e+004 1.1322e+005 1.0149e+005 6.6869e+004 4.2063e+004 2.3180e+004 3.0988e+002 1.8978e+004 8.7192e+005 7.0056e+005 1.8873e+005 2.7172e+004 3.8808e+003 1.0611e+003 4.1671e+002 1.9534e+002 9.9605e+001 5.1506e+001
          25 4.8598e+002 1.8112e+003 3.7977e+002 1.3830e+003 4.1311e+003 1.1390e+003 8.9619e+002 6.2015e+003 6.2408e+003 8.7119e+002 1.8975e+003 1.0815e+004 1.5274e+004 8.4392e+003 2.5750e+002 7.0631e+003 3.3886e+004 6.9212e+004 9.2516e+004 9.2949e+004 6.8332e+004 4.3698e+004 2.8189e+004 8.3986e+003 2.9457e+001 6.5222e+004 8.9381e+005 1.1470e+006 1.2863e+005 5.6723e+004 1.4777e+004 4.6232e+003 1.8006e+003 8.1404e+002 3.9203e+002
          26 1.6677e+002 1.4116e+003 6.0429e+002 7.1046e+002 3.4615e+003 1.5373e+003 2.9091e+002 4.5394e+003 5.9444e+003 1.5518e+003 6.6770e+002 7.4496e+003 1.3056e+004 9.3168e+003 1.3024e+003 2.6271e+003 2.0760e+004 4.9643e+004 7.3642e+004 8.0815e+004 6.6307e+004 4.4102e+004 2.8238e+004 1.6772e+004 8.6474e+002 7.0313e+002 1.0969e+005 1.0207e+006 1.5809e+006 7.7007e+003 4.3367e+004 2.5214e+004 1.2532e+004 6.3455e+003 3.2329e+003
          27 3.3464e+001 1.0572e+003 7.4356e+002 3.2388e+002 2.7650e+003 1.7296e+003 5.0685e+001 3.1972e+003 5.2811e+003 2.0116e+003 1.4959e+002 4.9462e+003 1.0617e+004 9.1631e+003 2.3350e+003 7.2095e+002 1.2382e+004 3.4893e+004 5.7035e+004 6.7180e+004 6.0670e+004 4.2476e+004 2.6948e+004 1.9048e+004 5.3335e+003 2.1720e+001 9.4155e+003 9.9743e+004 1.4713e+006 1.6353e+006 1.1973e+005 2.6504e+003 3.9034e+002 1.0843e+003 9.2249e+002
          28 3.3856e-001 7.5798e+002 7.7477e+002 1.2520e+002 2.0996e+003 1.7040e+003 1.6562e-003 2.1593e+003 4.3859e+003 2.1582e+003 5.7825e+000 3.1547e+003 8.1972e+003 8.1963e+003 2.9208e+003 9.0790e+001 7.1438e+003 2.3871e+004 4.2609e+004 5.3206e+004 5.1876e+004 3.8362e+004 2.4663e+004 1.7491e+004 8.9753e+003 3.0132e+002 1.1114e+002 2.4573e+004 3.0438e+004 2.5301e+006 8.2630e+005 3.6401e+005 1.2682e+005 5.0158e+004 2.1929e+004
          29 7.5161e+000 5.1308e+002 6.9751e+002 3.8348e+001 1.4936e+003 1.4784e+003 2.0547e+001 1.3825e+003 3.3583e+003 1.9780e+003 1.4938e+001 1.9145e+003 5.9198e+003 6.6296e+003 2.9128e+003 2.4983e+000 3.9523e+003 1.5637e+004 3.0118e+004 3.9457e+004 4.0721e+004 3.1663e+004 2.0913e+004 1.4313e+004 9.3329e+003 1.6207e+003 4.0411e+001 2.9683e+003 3.1535e+004 2.3656e+004 3.9894e+006 1.0360e+004 1.0100e+005 7.8657e+004 4.6325e+004
          30 1.8016e+001 3.1668e+002 5.2959e+002 8.4817e+000 9.5899e+002 1.0959e+003 4.1846e+001 8.1409e+002 2.2811e+003 1.5185e+003 4.6100e+001 1.0767e+003 3.8488e+003 4.6807e+003 2.3472e+003 5.1332e+001 2.0530e+003 9.4488e+003 1.9327e+004 2.6275e+004 2.8192e+004 2.2809e+004 1.5486e+004 1.0296e+004 7.3144e+003 2.3405e+003 6.7324e-002 1.6589e+002 8.7313e+003 2.6445e+004 5.2226e+005 4.3704e+006 4.0390e+005 5.4252e+004 9.4525e+003
          31 1.6696e+001 1.6317e+002 3.1116e+002 1.2568e+000 5.0745e+002 6.3486e+002 3.7021e+001 4.0577e+002 1.2523e+003 8.9781e+002 4.5249e+001 5.1933e+002 2.0544e+003 2.6322e+003 1.4246e+003 6.4429e+001 9.3483e+002 4.8106e+003 1.0243e+004 1.4271e+004 1.5672e+004 1.3013e+004 9.0131e+003 5.9016e+003 4.3026e+003 1.7852e+003 2.5487e+001 1.9939e+000 1.9738e+003 1.0072e+004 1.2026e+004 1.8628e+006 3.3899e+006 6.3696e+005 2.0566e+005
          32 7.6777e+000 5.8951e+001 1.1972e+002 1.4466e-001 1.8577e+002 2.4268e+002 1.6753e+001 1.4414e+002 4.6676e+002 3.4640e+002 2.1183e+001 1.8138e+002 7.5538e+002 9.9227e+002 5.5602e+002 3.2360e+001 3.1684e+002 1.7288e+003 3.7549e+003 5.2945e+003 5.8769e+003 4.9414e+003 3.4570e+003 2.2502e+003 1.6511e+003 7.5633e+002 2.3975e+001 2.9964e-001 4.5623e+002 2.6558e+003 5.8994e+003 1.0828e+004 2.1467e+006 2.9500e+006 2.1555e+005
