   v'->v''           0           1           2           3           4           5           6           7           8           9          10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          28          29          30          31          32          33          34          35          36
          20 1.9774e+001 1.1068e+003 1.9840e+004 5.4881e+003 7.9635e+004 7.5743e+000 2.1257e+005 2.1929e+005 4.4051e+003 4.1536e+005 5.8131e+005 1.3836e+005 2.9398e+004 2.3663e+005 2.0550e+005 4.8183e+004 1.2623e+002 2.0596e+003 3.1993e+002 9.4764e+003 1.3563e+004 6.5705e+003 1.0346e+003 2.6072e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          21 9.8530e+001 3.8295e+003 1.3674e+004 9.9365e+002 5.6394e+004 2.6889e+004 6.9388e+004 2.6735e+005 5.9044e+004 1.1621e+005 5.3187e+005 3.9787e+005 2.9200e+004 8.6040e+004 2.3881e+005 1.5306e+005 2.6910e+004 6.3286e+001 1.7385e+003 4.0283e+002 7.8714e+003 1.0910e+004 5.8219e+003 1.2171e+003 1.4531e+002 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          22 3.0470e+002 4.0942e+003 4.6374e+003 8.9715e+003 2.1297e+004 5.6717e+004 3.7766e+003 1.8683e+005 1.7719e+005 6.1506e+002 2.8865e+005 5.1288e+005 2.1306e+005 3.0107e+001 1.3882e+005 2.1798e+005 1.0775e+005 1.3635e+004 4.8017e+002 1.3977e+003 4.7019e+002 6.5157e+003 8.7608e+003 5.1540e+003 1.3406e+003 7.5131e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          23 3.3827e+002 2.3475e+003 2.6658e+002 1.3144e+004 2.2991e+003 5.5034e+004 8.8879e+003 7.7237e+004 2.1615e+005 5.0435e+004 7.3960e+004 4.1020e+005 3.9490e+005 7.9206e+004 2.2099e+004 1.7205e+005 1.8324e+005 7.1230e+004 5.9800e+003 9.7511e+002 1.0612e+003 5.2596e+002 5.3732e+003 7.0063e+003 4.5607e+003 1.4015e+003 3.5675e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          24 2.1413e+002 6.4387e+002 6.0152e+002 1.0405e+004 9.4215e+002 3.3106e+004 3.4044e+004 1.2517e+004 1.6580e+005 1.3807e+005 1.3878e+002 2.1027e+005 4.2879e+005 2.4315e+005 1.2046e+004 6.5103e+004 1.8169e+005 1.4347e+005 4.3893e+004 2.0035e+003 1.3691e+003 7.5930e+002 5.7750e+002 4.4391e+003 5.5913e+003 4.0390e+003 1.4009e+003 1.5404e+001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          25 7.2889e+001 7.6649e+000 2.3854e+003 5.0782e+003 6.3024e+003 1.1916e+004 4.5402e+004 7.5394e+002 8.5390e+004 1.7403e+005 3.6768e+004 5.5399e+004 3.2107e+005 3.5510e+005 1.1177e+005 1.6475e+003 1.0626e+005 1.7071e+005 1.0426e+005 2.4653e+004 3.4730e+002 1.5681e+003 5.0410e+002 6.1206e+002 3.6489e+003 4.4434e+003 3.5820e+003 1.3417e+003 5.9788e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          26 4.5901e+000 2.1427e+002 3.2614e+003 1.2513e+003 9.7691e+003 1.4505e+003 3.8440e+004 1.5011e+004 2.5831e+004 1.4784e+005 1.0059e+005 5.7621e+002 1.6727e+005 3.5187e+005 2.3422e+005 2.9497e+004 2.6121e+004 1.3191e+005 1.4546e+005 7.0099e+004 1.2191e+004 2.6141e+000 1.5454e+003 2.7639e+002 6.5784e+002 3.0002e+003 3.5190e+003 3.1879e+003 1.2299e+003 2.0985e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          27 1.0173e+001 6.3152e+002 2.8254e+003 1.0714e+001 9.1828e+003 3.4403e+002 2.3300e+004 2.9436e+004 1.7310e+003 9.2704e+004 1.3422e+005 2.0316e+004 5.1805e+004 2.6058e+005 2.9920e+005 1.1582e+005 4.6326e+002 6.2236e+004 1.3785e+005 1.1276e+005 4.2762e+004 4.9028e+003 2.7293e+002 1.3919e+003 1.2293e+002 6.8846e+002 2.4461e+003 2.7720e+003 2.8404e+003 1.0761e+003 7.2946e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          28 4.6056e+001 8.4454e+002 1.7532e+003 4.1382e+002 6.2364e+003 3.1078e+003 9.9546e+003 3.3174e+004 2.4066e+003 4.2490e+004 1.2609e+005 6.2552e+004 3.4890e+003 1.4590e+005 2.8375e+005 1.9719e+005 3.4145e+004 1.1124e+004 9.1479e+004 1.2488e+005 7.8543e+004 2.2819e+004 1.2905e+003 6.8146e+002 1.0696e+003 2.5340e+001 7.2069e+002 1.9688e+003 2.1805e+003 2.5105e+003 8.8564e+002 3.1776e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          29 7.3070e+001 7.8206e+002 7.7670e+002 1.1711e+003 3.1724e+003 5.4840e+003 2.4995e+003 2.7595e+004 1.1259e+004 1.2539e+004 9.3148e+004 8.9827e+004 5.3313e+003 5.8345e+004 2.1457e+005 2.3082e+005 9.2064e+004 1.2569e+003 3.9889e+004 1.0290e+005 9.8346e+004 4.7697e+004 9.8726e+003 7.9494e+001 9.6205e+002 7.0322e+002 6.8631e-001 7.3362e+002 1.5398e+003 1.7234e+003 2.1739e+003 6.6467e+002 2.6391e-001 0.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000
          30 7.6214e+001 5.6252e+002 2.1441e+002 1.5423e+003 1.1538e+003 5.9232e+003 1.1714e+002 1.8350e+004 1.7317e+004 1.3028e+003 5.6333e+004 9.0659e+004 2.4875e+004 1.3398e+004 1.3270e+005 2.1049e+005 1.3362e+005 2.1527e+004 8.2405e+003 6.4688e+004 9.2558e+004 6.4824e+004 2.3434e+004 2.7799e+003 1.2319e+002 9.4833e+002 3.2814e+002 4.8885e+001 7.1474e+002 1.1536e+003 1.3775e+003 1.7658e+003 4.3000e+002 5.0019e-001 0.0000e+000 0.0000e+000 0.0000e+000
          31 5.9738e+001 3.2546e+002 2.0660e+001 1.3876e+003 2.5591e+002 4.7247e+003 1.9495e+002 1.0004e+004 1.7028e+004 1.9345e+002 2.8159e+004 7.0969e+004 3.6887e+004 5.3126e+002 6.7286e+004 1.5476e+005 1.3505e+005 4.3520e+004 2.2131e+000 3.0712e+004 6.7807e+004 6.3384e+004 3.2122e+004 7.6718e+003 2.1716e+002 4.7924e+002 6.2199e+002 6.8326e+001 1.5537e+002 6.1958e+002 7.9772e+002 1.1114e+003 1.1989e+003 2.0836e+002 1.4014e+000 0.0000e+000 0.0000e+000
          32 3.2220e+001 1.3814e+002 8.5569e-001 8.1772e+002 2.2397e+001 2.5794e+003 4.7672e+002 4.0774e+003 1.0626e+004 1.0805e+003 1.0624e+004 3.8810e+004 2.8450e+004 5.5042e+002 2.5483e+004 8.1226e+004 8.7657e+004 3.9169e+004 1.8967e+003 1.0065e+004 3.4650e+004 4.0123e+004 2.5038e+004 8.2902e+003 8.4395e+002 8.4670e+001 4.2506e+002 1.6954e+002 4.5626e+000 2.1646e+002 3.8077e+002 4.6894e+002 7.2400e+002 4.5807e+002 4.7107e+001 3.1592e+000 0.0000e+000
